DASH.Open;DASH.High;DASH.Low;DASH.Close;DASH.Volume;DASH.Adjusted
184;185,326004;177,7799988;178,0599976;2091600;178,0599976
175,8099976;176,7400055;173,1300049;174,2899933;1623900;174,2899933
175,3500061;179,5299988;169,8000031;177,6300049;1512700;177,6300049
177,0099945;180,5599976;175,5399933;177,1300049;1218900;177,1300049
175,4400024;180,4199982;175,0460052;178,5200043;1243200;178,5200043
178,3699951;186,0800018;177,8399963;181,3300018;2130500;181,3300018
182,4199982;183,3899994;178,6199951;181,5599976;1897000;181,5599976
182,8000031;186,1100006;180,1100006;183,1499939;1264100;183,1499939
186,8999939;194,25;186,1950073;190,1600037;3758100;190,1600037
190,5099945;191,6300049;187,0200043;190,5599976;2609100;190,5599976
192,1900024;192,4900055;187;188,2100067;3824100;188,2100067
181;195,4499969;177,1499939;194,7899933;6915100;194,7899933
189,5399933;192,7749939;186,1900024;187,6699982;3304200;187,6699982
184,5500031;194,2100067;183,6100006;185,8800049;3447200;185,8800049
185;194,25;184,7400055;191,6300049;2894500;191,6300049
182,6150055;185,4299927;178,2400055;182,0599976;6448900;182,0599976
182,8000031;187,2299957;176,1499939;184,0800018;6305200;184,0800018
177,3600006;185;173,5700073;183,0800018;2939000;183,0800018
184,8899994;189,5299988;183,3399963;187,4499969;2101500;187,4499969
185,4499969;190,1199951;184,5500031;188,25;1914300;188,25
188,4600067;194,6499939;187,1699982;191;2223600;191
186,8899994;190,25;186,0500031;187,9400024;1696600;187,9400024
187,9100037;193,8300018;187,6100006;192,6999969;1773500;192,6999969
192,4900055;196,6499939;189,8699951;191,3999939;5344700;191,3999939
192;194,8000031;190,6000061;191,8000031;2321500;191,8000031
192;193,5;189,2599945;191,7200012;1915200;191,7200012
191;194,1199951;190,0019989;193,4600067;1255300;193,4600067
195;199,5;192,1600037;197,1199951;3123400;197,1199951
195,2599945;203,6399994;194,7510071;200,9199982;3583100;200,9199982
201,7700043;210,1399994;200,8000031;207,7400055;4114400;207,7400055
209;214,2480011;206,8049927;210,3699951;3307200;210,3699951
208,6199951;212,1399994;203,6600037;208,6399994;2852800;208,6399994
205,8999939;211,6999969;203,1000061;203,3300018;4008900;203,3300018
204,8899994;211,4799957;203,5899963;209,8500061;3372000;209,8500061
217,0399933;225,4499969;216,6000061;221,5;5786800;221,5
223,0299988;227,3999939;220;222,9100037;14845700;222,9100037
219,2400055;226,5659943;217,3200073;220,3200073;3654300;220,3200073
222,3300018;224,4799957;217,5;221,3600006;3250500;221,3600006
221,3500061;223,5700073;215,8249969;217,6600037;2170800;217,6600037
220,0399933;220,5;211,7100067;217;2710800;217
219,9799957;225,4199982;217,8300018;220,5200043;4377900;220,5200043
218,2200012;219,4499969;212,7830048;216,7299957;1671400;216,7299957
213,5099945;214,4900055;204,5500031;206,3200073;2199300;206,3200073
207,4900055;210;205,3800049;205,8300018;1396900;205,8300018
205,9900055;208,4900055;203,2400055;205,9799957;1565500;205,9799957
208,4600067;209,7700043;200,6799927;203,9900055;1666500;203,9900055
201,1399994;203,6199951;196,8600006;197,6799927;1556900;197,6799927
199,8300018;202,9299927;198,9199982;199,5;1137300;199,5
198,7299957;205,3999939;198,1849976;205,2599945;2258600;205,2599945
209,3099976;210,25;204,5800018;204,9199982;1084800;204,9199982
204,8999939;207,9900055;204,1499939;204,4199982;892100;204,4199982
203,4299927;204,4100037;194,5399933;195,3000031;1512200;195,3000031
202,9299927;204,3500061;198,6600037;199;2372300;199
